 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 01:02:40
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x753f72a2d7f0
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=2, max=4} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 01:02:40,127: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 01:02:40,130: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 01:02:41,155: INFO/MainProcess] mingle: all alone
[2026-04-26 01:02:41,172: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 01:02:41,173: INFO/MainProcess] Task cpu_intensive[eff868c7-b655-4b07-a18d-ce86a8623ecb] received
[2026-04-26 01:02:41,173: INFO/MainProcess] Task cpu_intensive[f6873605-483c-49db-ae36-c7acc4363b85] received
[2026-04-26 01:02:41,173: INFO/MainProcess] Task memory_intensive[8e792d4a-4b65-4a96-866e-65893244f8c0] received
[2026-04-26 01:02:41,173: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 01:02:41,197: INFO/MainProcess] Task cpu_intensive[53bada57-bd96-4cbc-bf7a-be2543fcbbfa] received
[2026-04-26 01:02:41,198: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 01:02:42,910: INFO/ForkPoolWorker-1] Task cpu_intensive[53bada57-bd96-4cbc-bf7a-be2543fcbbfa] succeeded in 1.5821623559995714s: 333333283333335000000
[2026-04-26 01:02:42,911: INFO/MainProcess] Task cpu_intensive[ad4ccdf2-f5ce-47cc-81bf-104d67fad545] received
[2026-04-26 01:02:42,915: INFO/ForkPoolWorker-3] Task cpu_intensive[f6873605-483c-49db-ae36-c7acc4363b85] succeeded in 1.5907225010005277s: 333333283333335000000
