 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 16:14:25
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7220060419a0
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=2, max=4} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 16:14:25,870: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 16:14:25,874: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 16:14:26,891: INFO/MainProcess] mingle: all alone
[2026-04-26 16:14:26,909: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 16:14:26,909: INFO/MainProcess] Task cpu_intensive[3baf33f4-51b5-4eb5-88bd-bc1e126ccd9c] received
[2026-04-26 16:14:26,910: INFO/MainProcess] Task cpu_intensive[80a89a7a-7660-44d1-95dc-f6ffbb3bd92a] received
[2026-04-26 16:14:26,910: INFO/MainProcess] Task memory_intensive[46cd7dc9-5af7-469c-9def-00025bd4b82a] received
[2026-04-26 16:14:26,910: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 16:14:26,934: INFO/MainProcess] Task cpu_intensive[7848b958-d5be-4134-9126-836ec4c3bb00] received
[2026-04-26 16:14:26,934: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 16:14:28,671: INFO/ForkPoolWorker-3] Task cpu_intensive[80a89a7a-7660-44d1-95dc-f6ffbb3bd92a] succeeded in 1.6116980200022226s: 333333283333335000000
[2026-04-26 16:14:28,673: INFO/MainProcess] Task cpu_intensive[9d832f35-82b1-4e73-ac54-df6c19eb7a4e] received
[2026-04-26 16:14:28,675: INFO/ForkPoolWorker-2] Task cpu_intensive[3baf33f4-51b5-4eb5-88bd-bc1e126ccd9c] succeeded in 1.6156037699984154s: 333333283333335000000
