 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 16:41:46
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x72ba631317f0
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=2, max=4} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 16:41:46,780: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 16:41:46,783: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 16:41:47,800: INFO/MainProcess] mingle: all alone
[2026-04-26 16:41:47,818: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 16:41:47,818: INFO/MainProcess] Task cpu_intensive[591b67d4-45b0-410c-9462-30d9d86c1181] received
[2026-04-26 16:41:47,819: INFO/MainProcess] Task cpu_intensive[f3a2329b-7b94-4196-b0df-458f83213f64] received
[2026-04-26 16:41:47,819: INFO/MainProcess] Task memory_intensive[1e719cac-682c-4059-8bb9-d1c58450e01f] received
[2026-04-26 16:41:47,819: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 16:41:47,843: INFO/MainProcess] Task cpu_intensive[125718ce-c859-4a8d-b538-5f91ba7c41fc] received
[2026-04-26 16:41:47,843: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 16:41:49,574: INFO/ForkPoolWorker-2] Task cpu_intensive[591b67d4-45b0-410c-9462-30d9d86c1181] succeeded in 1.6044576360000065s: 333333283333335000000
[2026-04-26 16:41:49,576: INFO/MainProcess] Task cpu_intensive[207764c7-2ad5-417d-95d9-8e7c7cc03452] received
[2026-04-26 16:41:49,576: INFO/ForkPoolWorker-1] Task cpu_intensive[125718ce-c859-4a8d-b538-5f91ba7c41fc] succeeded in 1.604011992996675s: 333333283333335000000
[2026-04-26 16:41:49,577: INFO/MainProcess] Task memory_intensive[6dbac1ca-ec3b-4215-8465-f635b5184d19] received
