 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 04:08:25
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x72f3ce331b80
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=4, max=8} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 04:08:25,457: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 04:08:25,461: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 04:08:26,477: INFO/MainProcess] mingle: all alone
[2026-04-26 04:08:26,494: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 04:08:26,495: INFO/MainProcess] Task cpu_intensive[1aba3dcf-35d7-4d8d-adc9-ee3e82b1b24b] received
[2026-04-26 04:08:26,496: INFO/MainProcess] Task cpu_intensive[3862d655-6388-4d2d-b913-8a4d70d408cf] received
[2026-04-26 04:08:26,496: INFO/MainProcess] Task memory_intensive[a41416b8-01e9-40f8-a6cc-a44ce10fefbc] received
[2026-04-26 04:08:26,496: INFO/MainProcess] Task cpu_intensive[e37570e8-ccec-47ca-bf5f-f7e0d4b27f7e] received
[2026-04-26 04:08:26,496: INFO/MainProcess] Task cpu_intensive[e7c1ca0f-9ff3-4c34-8c79-bd9b252ba222] received
[2026-04-26 04:08:26,496: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 04:08:26,520: INFO/MainProcess] Task memory_intensive[048f92a4-3c2a-40b0-a2f7-cc41306e56c6] received
[2026-04-26 04:08:26,520: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 04:08:26,544: INFO/MainProcess] Task cpu_intensive[67d11b68-3b90-490a-888c-ba338aac4a8b] received
[2026-04-26 04:08:26,545: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 04:08:26,569: INFO/MainProcess] Task cpu_intensive[c5d8b4b9-7792-4d90-bd1e-9d1865b20a2e] received
