 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 03:24:40
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x77914a73d7c0
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=4, max=8} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 03:24:41,021: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 03:24:41,025: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 03:24:42,042: INFO/MainProcess] mingle: all alone
[2026-04-26 03:24:42,057: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 03:24:42,057: INFO/MainProcess] Task cpu_intensive[1460e3f8-473a-4bce-8b53-2aaad0867581] received
[2026-04-26 03:24:42,058: INFO/MainProcess] Task cpu_intensive[ddc9c7c4-e347-4566-b1d3-22dac294f3a2] received
[2026-04-26 03:24:42,058: INFO/MainProcess] Task memory_intensive[672886a2-8e28-44c9-ad99-ae46a4ba97c0] received
[2026-04-26 03:24:42,058: INFO/MainProcess] Task cpu_intensive[0c26c5ad-1e68-4a44-b97d-f1a878711e7c] received
[2026-04-26 03:24:42,059: INFO/MainProcess] Task cpu_intensive[fd35b364-cb82-41ff-82cc-6bcebad2ac63] received
[2026-04-26 03:24:42,059: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 03:24:42,082: INFO/MainProcess] Task memory_intensive[4ad11c77-cb08-4141-8f02-16fba5908e96] received
[2026-04-26 03:24:42,083: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 03:24:42,107: INFO/MainProcess] Task cpu_intensive[29d2005e-eeb2-4198-a2cb-f3ef9cf24013] received
[2026-04-26 03:24:42,107: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 03:24:42,131: INFO/MainProcess] Task cpu_intensive[e93e3b4a-882b-4455-be0b-05b15de9b97b] received
