 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 13:47:03
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x744742f2d9a0
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=4, max=8} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 13:47:03,308: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 13:47:03,311: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 13:47:04,328: INFO/MainProcess] mingle: all alone
[2026-04-26 13:47:04,345: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 13:47:04,346: INFO/MainProcess] Task cpu_intensive[64f57253-f525-472c-b308-804f81af7a5f] received
[2026-04-26 13:47:04,346: INFO/MainProcess] Task cpu_intensive[6f7eeeee-0358-4a89-b93d-4aef89c094d0] received
[2026-04-26 13:47:04,347: INFO/MainProcess] Task memory_intensive[f6f97660-d297-4553-8040-fae360e871da] received
[2026-04-26 13:47:04,347: INFO/MainProcess] Task cpu_intensive[dc8b7684-69bd-4709-97d0-37af795721cc] received
[2026-04-26 13:47:04,347: INFO/MainProcess] Task cpu_intensive[b0d0cc52-f032-48b0-bf50-38884bbc89ab] received
[2026-04-26 13:47:04,347: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 13:47:04,370: INFO/MainProcess] Task memory_intensive[d7e4a222-66ba-405f-8fc1-ffe5ad332aa3] received
[2026-04-26 13:47:04,371: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 13:47:04,395: INFO/MainProcess] Task cpu_intensive[0393e7bb-40a0-4e04-8162-69fb511d0274] received
[2026-04-26 13:47:04,396: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 13:47:04,420: INFO/MainProcess] Task cpu_intensive[d1b00236-44c1-4dd7-aa2a-eae9fe04401d] received
