 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 06:35:55
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7c1ca19e2030
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=4, max=8} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 06:35:55,814: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 06:35:55,818: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 06:35:56,833: INFO/MainProcess] mingle: all alone
[2026-04-26 06:35:56,848: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 06:35:56,849: INFO/MainProcess] Task cpu_intensive[1b5eec30-a8ec-4b7a-bb10-0acb207bee84] received
[2026-04-26 06:35:56,850: INFO/MainProcess] Task cpu_intensive[c1da2ed7-6c6d-4394-ac3f-9bebd4176bac] received
[2026-04-26 06:35:56,850: INFO/MainProcess] Task memory_intensive[937654e2-e647-40f9-bbb4-c5474c4ed076] received
[2026-04-26 06:35:56,850: INFO/MainProcess] Task cpu_intensive[667cd4d0-8881-4d79-bb2d-b8634259d4d5] received
[2026-04-26 06:35:56,850: INFO/MainProcess] Task cpu_intensive[92fed933-f5e0-4ab6-80ea-b4acae37be66] received
[2026-04-26 06:35:56,851: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 06:35:56,874: INFO/MainProcess] Task memory_intensive[0e156219-3aa7-4a2e-a836-291be463f9ba] received
[2026-04-26 06:35:56,875: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 06:35:56,899: INFO/MainProcess] Task cpu_intensive[2d7966f5-7405-4ab8-b647-773041328e7f] received
[2026-04-26 06:35:56,899: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 06:35:56,923: INFO/MainProcess] Task cpu_intensive[2c3ed233-f860-4471-a997-50773b48df4c] received
