 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 07:30:30
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7041c313d880
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=4, max=8} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 07:30:30,774: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 07:30:30,777: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 07:30:31,795: INFO/MainProcess] mingle: all alone
[2026-04-26 07:30:31,812: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 07:30:31,812: INFO/MainProcess] Task cpu_intensive[a201a521-d3a6-4624-83f1-6aa988cd6225] received
[2026-04-26 07:30:31,813: INFO/MainProcess] Task cpu_intensive[09551ee2-eb6a-49de-b6ab-30df1af71c85] received
[2026-04-26 07:30:31,813: INFO/MainProcess] Task memory_intensive[45e03a2b-07e3-4cdf-86d6-f65f9c05bc9f] received
[2026-04-26 07:30:31,813: INFO/MainProcess] Task cpu_intensive[2864b4f3-f40e-41e0-9456-09d9e50d2c35] received
[2026-04-26 07:30:31,814: INFO/MainProcess] Task cpu_intensive[6e1c4c07-1e36-4c70-b0d4-8de2ff24e5ec] received
[2026-04-26 07:30:31,814: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 07:30:31,837: INFO/MainProcess] Task memory_intensive[227f6b6a-04bc-41b3-b9d6-6d07e95622e3] received
[2026-04-26 07:30:31,837: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 07:30:31,864: INFO/MainProcess] Task cpu_intensive[b5a3b8e7-cb9f-4fd4-9678-f2fd831b4455] received
[2026-04-26 07:30:31,864: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 07:30:31,889: INFO/MainProcess] Task cpu_intensive[dad74350-9acb-497d-91e4-1775084bbc94] received
