 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 15:52:35
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7af96773d7c0
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=4, max=8} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 15:52:35,902: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 15:52:35,905: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 15:52:36,922: INFO/MainProcess] mingle: all alone
[2026-04-26 15:52:36,940: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 15:52:36,941: INFO/MainProcess] Task cpu_intensive[a3a2470e-e9f1-4e31-a2ae-245a2609ef22] received
[2026-04-26 15:52:36,941: INFO/MainProcess] Task cpu_intensive[0b3247d9-802c-4b73-a89a-2b171f96b9b1] received
[2026-04-26 15:52:36,941: INFO/MainProcess] Task memory_intensive[14e2f11e-0034-4764-965c-453ca5d73742] received
[2026-04-26 15:52:36,942: INFO/MainProcess] Task cpu_intensive[dba3dfe0-c484-4817-bd6f-5b46955848cf] received
[2026-04-26 15:52:36,942: INFO/MainProcess] Task cpu_intensive[63dd2393-d4cd-405c-9698-f52fb8c048ec] received
[2026-04-26 15:52:36,942: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 15:52:36,965: INFO/MainProcess] Task memory_intensive[56614cc9-1851-4847-866b-c5d7b118d631] received
[2026-04-26 15:52:36,966: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 15:52:36,990: INFO/MainProcess] Task cpu_intensive[48d5d392-0b1c-41be-ad4a-ec196cfb647b] received
[2026-04-26 15:52:36,990: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 15:52:37,015: INFO/MainProcess] Task cpu_intensive[9f299760-9791-49d2-ad47-e0b890a9148e] received
