 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 09:03:18
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x729718a19a00
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=4, max=8} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 09:03:18,562: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 09:03:18,566: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 09:03:19,580: INFO/MainProcess] mingle: all alone
[2026-04-26 09:03:19,597: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 09:03:19,597: INFO/MainProcess] Task cpu_intensive[05300362-5f0d-4e02-846b-352df7c11aa6] received
[2026-04-26 09:03:19,598: INFO/MainProcess] Task cpu_intensive[d5b52848-41ec-4741-86f2-3798ea891045] received
[2026-04-26 09:03:19,598: INFO/MainProcess] Task memory_intensive[ca01948e-0450-4b50-ae21-f40194c8ee7c] received
[2026-04-26 09:03:19,598: INFO/MainProcess] Task cpu_intensive[8a424ff5-4a36-4e0a-8806-7bc4ff4362bd] received
[2026-04-26 09:03:19,599: INFO/MainProcess] Task cpu_intensive[29889ec7-3e08-44af-9b79-d4b2290ffe3c] received
[2026-04-26 09:03:19,599: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 09:03:19,622: INFO/MainProcess] Task memory_intensive[db0323c2-c1cc-4c84-8b10-5f9faa342574] received
[2026-04-26 09:03:19,623: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 09:03:19,647: INFO/MainProcess] Task cpu_intensive[8d0ea42b-8020-41e4-be63-093d90e72c13] received
[2026-04-26 09:03:19,647: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 09:03:19,672: INFO/MainProcess] Task cpu_intensive[5e40538e-19c4-4de1-922f-f02d84cfcfbb] received
