 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 01:13:36
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x764bc322d9a0
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=4, max=8} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 01:13:36,878: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 01:13:36,881: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 01:13:37,898: INFO/MainProcess] mingle: all alone
[2026-04-26 01:13:37,917: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 01:13:37,917: INFO/MainProcess] Task cpu_intensive[c02a6cfb-2558-4e57-9f45-fc10311dcced] received
[2026-04-26 01:13:37,918: INFO/MainProcess] Task cpu_intensive[e2bea448-fa00-4a70-a0e7-11c03715daf0] received
[2026-04-26 01:13:37,918: INFO/MainProcess] Task memory_intensive[25cfac07-94dd-4579-b6c2-878cf78fddff] received
[2026-04-26 01:13:37,918: INFO/MainProcess] Task cpu_intensive[82658a4e-6379-436a-8079-674db5938337] received
[2026-04-26 01:13:37,919: INFO/MainProcess] Task cpu_intensive[5e4ea1f3-078e-47d8-9519-18b24e8662d6] received
[2026-04-26 01:13:37,919: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 01:13:37,945: INFO/MainProcess] Task memory_intensive[0db19a6f-3921-4ba5-8dfa-73c8afa123e3] received
[2026-04-26 01:13:37,945: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 01:13:37,971: INFO/MainProcess] Task cpu_intensive[1749f6f4-0044-464f-a669-af2092c5f866] received
[2026-04-26 01:13:37,971: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 01:13:37,995: INFO/MainProcess] Task cpu_intensive[a9241499-5a34-4ccb-bc72-3d559298ffdd] received
