 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 19:42:09
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7360cef12090
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=4, max=8} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 19:42:09,614: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 19:42:09,617: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 19:42:10,635: INFO/MainProcess] mingle: all alone
[2026-04-26 19:42:10,653: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 19:42:10,654: INFO/MainProcess] Task cpu_intensive[4685bcd8-41a3-4a16-94db-fed9bbf179e3] received
[2026-04-26 19:42:10,655: INFO/MainProcess] Task cpu_intensive[13e4bc53-b908-47d5-8ec5-43fd11a43c3d] received
[2026-04-26 19:42:10,655: INFO/MainProcess] Task memory_intensive[8178ca6f-2ad0-46a0-8f3b-34269ea0c8f3] received
[2026-04-26 19:42:10,655: INFO/MainProcess] Task cpu_intensive[5f0e166b-9c2b-4fe5-9d74-d9bc13d80883] received
[2026-04-26 19:42:10,655: INFO/MainProcess] Task cpu_intensive[dc2f6310-dd3e-41a0-89e8-a523c82faceb] received
[2026-04-26 19:42:10,655: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 19:42:10,679: INFO/MainProcess] Task memory_intensive[4b72591f-4938-48d5-b215-b8a06a9a2c05] received
[2026-04-26 19:42:10,679: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 19:42:10,704: INFO/MainProcess] Task cpu_intensive[6474a222-eed1-46b4-83ab-06f0119750e5] received
[2026-04-26 19:42:10,704: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 19:42:10,728: INFO/MainProcess] Task cpu_intensive[8d5555e0-a721-473b-8a46-6f2c90b686e4] received
