 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 09:25:07
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7c3bda731970
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=4, max=8} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 09:25:07,797: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 09:25:07,801: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 09:25:08,816: INFO/MainProcess] mingle: all alone
[2026-04-26 09:25:08,833: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 09:25:08,834: INFO/MainProcess] Task cpu_intensive[836c1b6f-cfd0-4291-9459-14a139b047a6] received
[2026-04-26 09:25:08,834: INFO/MainProcess] Task cpu_intensive[b293270f-4f82-40c9-80b5-619408eed582] received
[2026-04-26 09:25:08,835: INFO/MainProcess] Task memory_intensive[da7ddb24-6dd7-4ab8-bdb3-5f19359e90ab] received
[2026-04-26 09:25:08,835: INFO/MainProcess] Task cpu_intensive[1db07522-6f64-46fc-a9fa-8f404d16b532] received
[2026-04-26 09:25:08,835: INFO/MainProcess] Task cpu_intensive[9366071b-c438-48ee-ae9c-096c6531ec40] received
[2026-04-26 09:25:08,835: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 09:25:08,859: INFO/MainProcess] Task memory_intensive[ba81d860-e4ba-4110-9987-8592cf4b9664] received
[2026-04-26 09:25:08,859: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 09:25:08,883: INFO/MainProcess] Task cpu_intensive[19f122fd-bfef-4ce5-b1e7-9a3dfc47f763] received
[2026-04-26 09:25:08,884: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 09:25:08,908: INFO/MainProcess] Task cpu_intensive[5811ece5-ad0f-4e4e-99be-798395199a8f] received
