 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 07:57:50
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x797a5682d670
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=4, max=8} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 07:57:50,752: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 07:57:50,754: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 07:57:51,772: INFO/MainProcess] mingle: all alone
[2026-04-26 07:57:51,790: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 07:57:51,791: INFO/MainProcess] Task cpu_intensive[677d56c9-b16e-4a62-b488-2a44ed9dbb47] received
[2026-04-26 07:57:51,792: INFO/MainProcess] Task cpu_intensive[e85619fb-2d14-4b19-b9d4-39d91ce3b321] received
[2026-04-26 07:57:51,792: INFO/MainProcess] Task memory_intensive[67e5e39e-0637-4fd8-98c2-22c897d8fb83] received
[2026-04-26 07:57:51,792: INFO/MainProcess] Task cpu_intensive[b418ecb4-80e1-43e9-b85e-46b878aa6b0f] received
[2026-04-26 07:57:51,792: INFO/MainProcess] Task cpu_intensive[df70b2ad-d6bb-4918-b8a6-5262929e916a] received
[2026-04-26 07:57:51,792: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 07:57:51,815: INFO/MainProcess] Task memory_intensive[ac6a852b-0115-4e19-86eb-3a90d5d7bf8a] received
[2026-04-26 07:57:51,816: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 07:57:51,840: INFO/MainProcess] Task cpu_intensive[82bf0855-fd4d-400e-b3e1-5fec044fc9f3] received
[2026-04-26 07:57:51,840: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 07:57:51,864: INFO/MainProcess] Task cpu_intensive[535aa9dd-f068-4185-829e-cb2224cfaa08] received
