 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 08:36:00
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x725eaff3d8b0
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=4, max=8} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 08:36:01,055: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 08:36:01,058: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 08:36:02,075: INFO/MainProcess] mingle: all alone
[2026-04-26 08:36:02,094: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 08:36:02,095: INFO/MainProcess] Task cpu_intensive[ae58a764-f483-40f3-84fa-3aad358f7a8f] received
[2026-04-26 08:36:02,095: INFO/MainProcess] Task cpu_intensive[b09c62ee-8a12-4b1d-9241-14606822d1f9] received
[2026-04-26 08:36:02,095: INFO/MainProcess] Task memory_intensive[6006ee0a-8cb5-4df1-a90a-726f16ea6a36] received
[2026-04-26 08:36:02,095: INFO/MainProcess] Task cpu_intensive[f941c4e2-457c-45ea-85cb-7bbcad8a91de] received
[2026-04-26 08:36:02,096: INFO/MainProcess] Task cpu_intensive[58c4cab8-8f24-4a8c-8adc-11317d526305] received
[2026-04-26 08:36:02,096: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 08:36:02,119: INFO/MainProcess] Task memory_intensive[5b0382e4-43b7-40e7-b7a9-c5de57aa3063] received
[2026-04-26 08:36:02,119: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 08:36:02,143: INFO/MainProcess] Task cpu_intensive[769996fa-2bb8-45bb-9ea2-8a4cf3036a2c] received
[2026-04-26 08:36:02,144: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 08:36:02,168: INFO/MainProcess] Task cpu_intensive[b2389bc9-b5f3-44cb-94cf-47a44d71d950] received
