 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 18:58:27
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x711bd5ed1310
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=4, max=8} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 18:58:27,324: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 18:58:27,329: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 18:58:28,355: INFO/MainProcess] mingle: all alone
[2026-04-26 18:58:28,379: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 18:58:28,380: INFO/MainProcess] Task cpu_intensive[89811bd8-b20d-4c35-b41d-0e46063300ad] received
[2026-04-26 18:58:28,381: INFO/MainProcess] Task cpu_intensive[d60e3d12-f302-4031-b457-a3f5aec00fef] received
[2026-04-26 18:58:28,381: INFO/MainProcess] Task memory_intensive[11015e9d-d290-44bc-975f-37367f3936b4] received
[2026-04-26 18:58:28,381: INFO/MainProcess] Task cpu_intensive[d5c2d3cf-865e-4849-91b3-1b68d53e4220] received
[2026-04-26 18:58:28,382: INFO/MainProcess] Task cpu_intensive[5dac27cf-75b2-4b86-97dd-dd68be17f8fe] received
[2026-04-26 18:58:28,382: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 18:58:28,424: INFO/MainProcess] Task memory_intensive[f39b6170-d9a7-4d3e-aa88-3f9d3ca79da4] received
[2026-04-26 18:58:28,425: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 18:58:28,469: INFO/MainProcess] Task cpu_intensive[80964a43-3c6f-43cb-bd67-3cde27ce76fb] received
[2026-04-26 18:58:28,470: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 18:58:28,514: INFO/MainProcess] Task cpu_intensive[e6fe80d6-6f02-413e-b81c-f9f364a238bf] received
