 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 02:46:31
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x72635353d6a0
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=4, max=8} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 02:46:31,274: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 02:46:31,277: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 02:46:32,295: INFO/MainProcess] mingle: all alone
[2026-04-26 02:46:32,313: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 02:46:32,314: INFO/MainProcess] Task cpu_intensive[3f2ad31e-1f53-4866-b459-a5ecf3837b95] received
[2026-04-26 02:46:32,315: INFO/MainProcess] Task cpu_intensive[c0e51da5-61c1-498f-8c0d-867f3045f0f5] received
[2026-04-26 02:46:32,315: INFO/MainProcess] Task memory_intensive[59168796-3885-47a2-b1cf-1375345f1e2e] received
[2026-04-26 02:46:32,315: INFO/MainProcess] Task cpu_intensive[2225c4cc-086c-4b49-af3f-566e39a38cb7] received
[2026-04-26 02:46:32,315: INFO/MainProcess] Task cpu_intensive[ecac7521-56f7-4af0-98b9-11d9b1caefb1] received
[2026-04-26 02:46:32,315: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 02:46:32,339: INFO/MainProcess] Task memory_intensive[56f292ba-b639-452c-a9d2-06c25baaf36c] received
[2026-04-26 02:46:32,339: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 02:46:32,363: INFO/MainProcess] Task cpu_intensive[6ed0abfb-6c66-4cf1-b824-fadb384d0d57] received
[2026-04-26 02:46:32,364: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 02:46:32,388: INFO/MainProcess] Task cpu_intensive[144cf12b-fccc-4485-8be0-908ca9945817] received
