 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 05:24:57
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7d022e193020
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=4, max=8} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 05:24:57,615: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 05:24:57,618: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 05:24:58,636: INFO/MainProcess] mingle: all alone
[2026-04-26 05:24:58,653: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 05:24:58,654: INFO/MainProcess] Task cpu_intensive[3e91922c-8414-44a8-8caa-5b84b3bff584] received
[2026-04-26 05:24:58,654: INFO/MainProcess] Task cpu_intensive[a039c32d-f047-4281-94e0-25c7737a893d] received
[2026-04-26 05:24:58,655: INFO/MainProcess] Task memory_intensive[37a264f8-4cda-4ee7-a18d-f7c3e70abc7a] received
[2026-04-26 05:24:58,655: INFO/MainProcess] Task cpu_intensive[25f9ad9d-389b-4abb-9e05-751353a992c7] received
[2026-04-26 05:24:58,655: INFO/MainProcess] Task cpu_intensive[6495ca1b-df74-4b6e-97a3-cef0890a9463] received
[2026-04-26 05:24:58,655: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 05:24:58,679: INFO/MainProcess] Task memory_intensive[321ac7d7-baf8-49b1-9ee8-bffa9e34d6b5] received
[2026-04-26 05:24:58,679: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 05:24:58,704: INFO/MainProcess] Task cpu_intensive[ff5fa7cf-7013-44a0-8326-e19aacb2e5ae] received
[2026-04-26 05:24:58,704: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 05:24:58,728: INFO/MainProcess] Task cpu_intensive[3a507ea3-8bbf-4c33-8156-e241c7ef8fe5] received
