 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 21:36:38
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x70769cf12090
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=4, max=8} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 21:36:38,999: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 21:36:39,003: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 21:36:40,019: INFO/MainProcess] mingle: all alone
[2026-04-26 21:36:40,032: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 21:36:40,033: INFO/MainProcess] Task cpu_intensive[81fe6fa0-a09d-4dbb-9f8b-a0dbe8205e56] received
[2026-04-26 21:36:40,033: INFO/MainProcess] Task cpu_intensive[587814fe-1b1c-4bfd-b68f-6f7441a66bd8] received
[2026-04-26 21:36:40,033: INFO/MainProcess] Task memory_intensive[f5f71ffb-1937-417d-aae9-9a7b7add36fc] received
[2026-04-26 21:36:40,034: INFO/MainProcess] Task cpu_intensive[5bbc202c-7be7-480e-982a-bb548fe17129] received
[2026-04-26 21:36:40,034: INFO/MainProcess] Task cpu_intensive[5eeaa1b5-f297-4700-a623-ca215f22352a] received
[2026-04-26 21:36:40,034: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 21:36:40,064: INFO/MainProcess] Task memory_intensive[332d1cc2-a51e-448e-8406-1381ef34846e] received
[2026-04-26 21:36:40,064: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 21:36:40,092: INFO/MainProcess] Task cpu_intensive[a21d65a9-64fb-4651-911b-a9a381387a34] received
[2026-04-26 21:36:40,093: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 21:36:40,119: INFO/MainProcess] Task cpu_intensive[b758b554-bbe9-435a-943b-600e1a3c52b1] received
