 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 18:20:12
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x7fe990e41580
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=4, max=8} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 18:20:12,926: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 18:20:12,929: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 18:20:13,948: INFO/MainProcess] mingle: all alone
[2026-04-26 18:20:13,965: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 18:20:13,966: INFO/MainProcess] Task cpu_intensive[0f95a3b2-6de3-4d77-8340-26d144d08d86] received
[2026-04-26 18:20:13,966: INFO/MainProcess] Task cpu_intensive[722e9bf1-3160-4f99-ae7c-311b045459ee] received
[2026-04-26 18:20:13,967: INFO/MainProcess] Task memory_intensive[839f241b-dd8b-4357-8994-6be3fcd8f098] received
[2026-04-26 18:20:13,967: INFO/MainProcess] Task cpu_intensive[eec7241d-41db-409f-8b21-b5591a30f212] received
[2026-04-26 18:20:13,967: INFO/MainProcess] Task cpu_intensive[6cff4477-80b5-48b5-ac6c-3d3d6b6cd038] received
[2026-04-26 18:20:13,967: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 18:20:13,991: INFO/MainProcess] Task memory_intensive[6697ea8f-dad5-4864-93f9-dc4d2e3f0708] received
[2026-04-26 18:20:13,991: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 18:20:14,016: INFO/MainProcess] Task cpu_intensive[da29162f-1fc3-4998-9a2d-8a34b6a91996] received
[2026-04-26 18:20:14,016: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 18:20:14,040: INFO/MainProcess] Task cpu_intensive[18170046-3b34-48ce-9135-0c03ee0cf263] received
