 
 -------------- celery@golubev-BMH-WCX9 v5.6.3 (recovery)
--- ***** ----- 
-- ******* ---- Linux-6.8.0-110-generic-x86_64-with-glibc2.39 2026-04-26 09:41:28
- *** --- * --- 
- ** ---------- [config]
- ** ---------- .> app:         __main__:0x742ad3241a00
- ** ---------- .> transport:   amqp://celery_demo:**@localhost:5672//
- ** ---------- .> results:     disabled://
- *** --- * --- .> concurrency: {min=4, max=8} (prefork)
-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
--- ***** ----- 
 -------------- [queues]
                .> celery           exchange=celery(direct) key=celery
                

[tasks]
  . cpu_intensive
  . memory_intensive

[2026-04-26 09:41:28,155: INFO/MainProcess] Connected to amqp://celery_demo:**@127.0.0.1:5672//
[2026-04-26 09:41:28,158: INFO/MainProcess] mingle: searching for neighbors
[2026-04-26 09:41:29,174: INFO/MainProcess] mingle: all alone
[2026-04-26 09:41:29,191: INFO/MainProcess] celery@golubev-BMH-WCX9 ready.
[2026-04-26 09:41:29,192: INFO/MainProcess] Task cpu_intensive[558d7f4d-70d2-4cd0-a956-ac041cc87a0f] received
[2026-04-26 09:41:29,193: INFO/MainProcess] Task cpu_intensive[659a37a1-5756-4f25-8031-e872d2e2e503] received
[2026-04-26 09:41:29,193: INFO/MainProcess] Task memory_intensive[63070664-eb5b-4bad-b81a-11be4cbf6f8d] received
[2026-04-26 09:41:29,193: INFO/MainProcess] Task cpu_intensive[b5957576-1294-49bd-bdf2-3b18d0db766b] received
[2026-04-26 09:41:29,193: INFO/MainProcess] Task cpu_intensive[3f04525b-8f71-4f66-a706-711d5e279dcb] received
[2026-04-26 09:41:29,193: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 09:41:29,216: INFO/MainProcess] Task memory_intensive[4c6144f6-e495-46da-9ced-676fe2a361f2] received
[2026-04-26 09:41:29,217: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 09:41:29,241: INFO/MainProcess] Task cpu_intensive[07c89cc8-f789-40a2-bc7a-eca0e9abdb87] received
[2026-04-26 09:41:29,241: INFO/MainProcess] Scaling up 1 processes.
[2026-04-26 09:41:29,266: INFO/MainProcess] Task cpu_intensive[6f7f9f15-bfea-4d5a-9c60-fe7f3ac0a1d6] received
